"BotType","1","2","3","4","5","6","7","Win-rate","Games played","Total score","Average score"
"RobotStrategator 2","1734","1407","1317","1051","354","137","0","28.9","6000","131028","21"
"RobotRichalphonse 1","485","2166","3360","5395","8492","628","474","2.31","21000","228977","10"
"RobotRusher 1","2847","3569","4340","5115","2915","214","0","14.98","19000","302773","15"
"RobotInvestor 1","4698","5506","4848","3195","1485","268","0","23.49","20000","395435","19"
"RobotStrategator 1","9807","5877","3988","2429","777","122","0","42.64","23000","538512","23"
"RobotRusher 2","2000","2436","3115","3698","2567","184","0","14.29","14000","219557","15"
"RobotStrategator 3","732","762","680","612","124","90","0","24.4","3000","64990","21"
"RobotInvestor 2","149","149","180","196","161","165","0","14.9","1000","18406","18"
"RobotRichalphonse 2","36","330","348","443","125","192","526","1.8","2000","12739","6"
"RobotStrategator 4","482","503","499","516","0","0","0","24.1","2000","43446","21"
"RobotRichalphonse 3","30","295","325","350","0","0","0","3.0","1000","6038","6"
